allergicTo,eggs,0,
allergicTo,eggs,1,
allergicTo,eggs,3,
allergicTo,eggs,2,
allergicTo,eggs,255,
allergicTo,peanuts,0,
allergicTo,peanuts,2,
allergicTo,peanuts,7,
allergicTo,peanuts,5,
allergicTo,peanuts,255,
allergicTo,shellfish,0,
allergicTo,shellfish,4,
allergicTo,shellfish,14,
allergicTo,shellfish,10,
allergicTo,shellfish,255,
allergicTo,strawberries,0,
allergicTo,strawberries,8,
allergicTo,strawberries,28,
allergicTo,strawberries,20,
allergicTo,strawberries,255,
allergicTo,tomatoes,0,
allergicTo,tomatoes,16,
allergicTo,tomatoes,56,
allergicTo,tomatoes,40,
allergicTo,tomatoes,255,
allergicTo,chocolate,0,
allergicTo,chocolate,32,
allergicTo,chocolate,112,
allergicTo,chocolate,80,
allergicTo,chocolate,255,
allergicTo,pollen,0,
allergicTo,pollen,64,
allergicTo,pollen,224,
allergicTo,pollen,160,
allergicTo,pollen,255,
allergicTo,cats,0,
allergicTo,cats,128,
allergicTo,cats,192,
allergicTo,cats,64,
allergicTo,cats,255,
list,,0,
list,,1,
list,,2,
list,,8,
list,,3,
list,,5,
list,,248,
list,,255,
list,,509,
list,,257,
