"create","{""hour"":8,""minute"":0}",
"create","{""hour"":11,""minute"":9}",
"create","{""hour"":24,""minute"":0}",
"create","{""hour"":25,""minute"":0}",
"create","{""hour"":100,""minute"":0}",
"create","{""hour"":1,""minute"":60}",
"create","{""hour"":0,""minute"":160}",
"create","{""hour"":0,""minute"":1723}",
"create","{""hour"":25,""minute"":160}",
"create","{""hour"":201,""minute"":3001}",
"create","{""hour"":72,""minute"":8640}",
"create","{""hour"":-1,""minute"":15}",
"create","{""hour"":-25,""minute"":0}",
"create","{""hour"":-91,""minute"":0}",
"create","{""hour"":1,""minute"":-40}",
"create","{""hour"":1,""minute"":-160}",
"create","{""hour"":1,""minute"":-4820}",
"create","{""hour"":2,""minute"":-60}",
"create","{""hour"":-25,""minute"":-160}",
"create","{""hour"":-121,""minute"":-5810}",
"add","{""hour"":10,""minute"":0,""value"":3}",
"add","{""hour"":6,""minute"":41,""value"":0}",
"add","{""hour"":0,""minute"":45,""value"":40}",
"add","{""hour"":10,""minute"":0,""value"":61}",
"add","{""hour"":0,""minute"":45,""value"":160}",
"add","{""hour"":23,""minute"":59,""value"":2}",
"add","{""hour"":5,""minute"":32,""value"":1500}",
"add","{""hour"":1,""minute"":1,""value"":3500}",
"subtract","{""hour"":10,""minute"":3,""value"":3}",
"subtract","{""hour"":10,""minute"":3,""value"":30}",
"subtract","{""hour"":10,""minute"":3,""value"":70}",
"subtract","{""hour"":0,""minute"":3,""value"":4}",
"subtract","{""hour"":0,""minute"":0,""value"":160}",
"subtract","{""hour"":6,""minute"":15,""value"":160}",
"subtract","{""hour"":5,""minute"":32,""value"":1500}",
"subtract","{""hour"":2,""minute"":20,""value"":3000}",
"equal","{""clock1"":{""hour"":15,""minute"":37},""clock2"":{""hour"":15,""minute"":37}}",
"equal","{""clock1"":{""hour"":15,""minute"":36},""clock2"":{""hour"":15,""minute"":37}}",
"equal","{""clock1"":{""hour"":14,""minute"":37},""clock2"":{""hour"":15,""minute"":37}}",
"equal","{""clock1"":{""hour"":10,""minute"":37},""clock2"":{""hour"":34,""minute"":37}}",
"equal","{""clock1"":{""hour"":3,""minute"":11},""clock2"":{""hour"":99,""minute"":11}}",
"equal","{""clock1"":{""hour"":22,""minute"":40},""clock2"":{""hour"":-2,""minute"":40}}",
"equal","{""clock1"":{""hour"":17,""minute"":3},""clock2"":{""hour"":-31,""minute"":3}}",
"equal","{""clock1"":{""hour"":13,""minute"":49},""clock2"":{""hour"":-83,""minute"":49}}",
"equal","{""clock1"":{""hour"":0,""minute"":1},""clock2"":{""hour"":0,""minute"":1441}}",
"equal","{""clock1"":{""hour"":2,""minute"":2},""clock2"":{""hour"":2,""minute"":4322}}",
"equal","{""clock1"":{""hour"":2,""minute"":40},""clock2"":{""hour"":3,""minute"":-20}}",
"equal","{""clock1"":{""hour"":4,""minute"":10},""clock2"":{""hour"":5,""minute"":-1490}}",
"equal","{""clock1"":{""hour"":6,""minute"":15},""clock2"":{""hour"":6,""minute"":-4305}}",
"equal","{""clock1"":{""hour"":7,""minute"":32},""clock2"":{""hour"":-12,""minute"":-268}}",
"equal","{""clock1"":{""hour"":18,""minute"":7},""clock2"":{""hour"":-54,""minute"":-11513}}",
"equal","{""clock1"":{""hour"":24,""minute"":0},""clock2"":{""hour"":0,""minute"":0}}",
